E(keV)	tissue(ICRU44)	water	bonecortical(ICRU44)	adipose	aria	Al	Ca	Fe	C	Cu	Ag	Sn	Ba	Si	CsI	GadOX	polietilene	PMMA	teflon	glass(Pyrex)	Pb	CdTe	ZnSe(Te)	W	Mo	PMMA(wat1999)	Poliossimetilene	CaCl2	etanolo	CaCl2_H2O_100	CaCl2_etanolo_150	CaCl2_etanolo_50	Ottone(Cu_06_Zn_04)	Au	Mg	Ti	mix	H	HA_800mg_Idrossiapatite_in_water	HA_200mg_Idrossiapatite_in_water	HA_100mg_Idrossiapatite_in_water	HA_50mg_Idrossiapatite_in_water	I
97.0	0.181	0.172	0.365	0.162	0.000	0.470	0.365	3.110	0.248	4.390	16.764	13.206	0.833	0.438	9.969	21.041	0.154	0.198	0.324	0.375	68.100	10.825	7.278	92.3885041735258	1	0.1855	0.220067091961466	0.534753766050445	0.129768853051915	0.191840169596512	0.170125410793853	0.147224983751919	5.891	107.6	0.02993	1.29	0.728	0.0210481070283578	0.289	0.201	0.187	0.179	10.4312147290198
97.5	0.181	0.172	0.363	0.162	0.000	0.467	0.363	3.079	0.247	4.340	16.544	13.033	0.823	0.436	9.836	20.763	0.154	0.196	0.323	0.375	67.192	10.676	7.157	91.2143557318324	1	0.1854	0.219904087297653	0.530441475016927	0.129698384266882	0.191362732389847	0.169708832210428	0.147062251061317	5.838	106.3	0.02975	1.28	0.728	0.0210240823154631	0.288	0.201	0.187	0.179	10.292841755926
98.0	0.180	0.172	0.361	0.162	0.000	0.467	0.361	3.047	0.247	4.290	16.327	12.863	0.812	0.433	9.706	20.491	0.154	0.196	0.323	0.372	66.284	10.530	7.038	90.0615738109805	1	0.1853	0.219746446072807	0.526194969898264	0.1296306773747	0.190893454584418	0.169299712635177	0.146904052871369	5.785	104.9	0.02975	1.27	0.728	0.0210001574944351	0.287	0.201	0.186	0.179	10.1570577592966
98.5	0.180	0.172	0.361	0.162	0.000	0.464	0.361	3.016	0.247	4.250	16.115	12.696	0.798	0.433	9.578	20.223	0.154	0.196	0.323	0.372	65.490	10.387	6.921	88.9296091422976	1	0.1852	0.2195940704693	0.522012846442765	0.129565682478639	0.190432177898759	0.168897906156066	0.146750304653061	5.734	103.6	0.02958	1.26	0.727	0.0209763314708096	0.286	0.201	0.186	0.179	10.0238009054451
99.0	0.180	0.171	0.359	0.161	0.000	0.464	0.359	2.984	0.247	4.190	15.906	12.532	0.788	0.431	9.452	19.961	0.154	0.196	0.322	0.372	64.582	10.247	6.807	87.8179310311795	1	0.1851	0.219446865023323	0.517893738450758	0.129503350866128	0.189978748048525	0.168503270582453	0.146600923970137	5.683	102.2	0.02958	1.25	0.727	0.0209526031391946	0.284	0.199	0.185	0.178	9.89301114617348
99.5	0.180	0.171	0.357	0.161	0.000	0.462	0.357	2.953	0.247	4.150	15.702	12.371	0.777	0.429	9.329	19.703	0.154	0.195	0.322	0.370	63.787	10.110	6.694	86.7260265886508	1	0.1850	0.219304736555232	0.513836316532647	0.129443634974181	0.189533014623044	0.168115667329114	0.146455830415531	5.633	100.9	0.02941	1.24	0.727	0.020928971383667	0.283	0.199	0.185	0.178	9.76463015855717
100.0	0.179	0.171	0.357	0.161	0.000	0.459	0.357	2.929	0.247	4.100	15.501	12.213	0.770	0.429	9.208	19.450	0.154	0.195	0.321	0.370	62.993	9.975	6.583	85.6533999999933	1	0.1849	0.219167594102345	0.509839286914207	0.129386488356005	0.189094830966361	0.167734961304525	0.146314945550093	5.584	99.7	0.02941	1.23	0.727	0.0209054350781873	0.282	0.199	0.185	0.178	9.63860128704536
100.5	0.179	0.170	0.355	0.161	0.000	0.459	0.355	2.898	0.247	4.070	15.304	12.058	0.760	0.426	9.089	19.201	0.154	0.195	0.321	0.368	62.198	9.843	6.475	84.5995718284407	1	0.1849	0.219035348854063	0.505901390287053	0.129331865648761	0.188664054062582	0.167361020803226	0.146178192843487	5.535	98.3	0.02923	1.22	0.727	0.0208819930869621	0.281	0.198	0.184	0.177	9.51486948777687
101.0	0.179	0.170	0.353	0.160	0.000	0.456	0.353	2.874	0.247	4.020	15.111	11.906	0.749	0.424	8.973	18.957	0.154	0.195	0.320	0.368	61.404	9.714	6.368	83.5640783520384	1	0.1848	0.218907914089251	0.502021400702334	0.129279722542428	0.188240544425338	0.166993717402066	0.146045497617192	5.488	97.2	0.02923	1.21	0.726	0.0208586442648632	0.28	0.197	0.184	0.177	9.39338127501631
101.5	0.179	0.170	0.353	0.160	0.000	0.456	0.353	2.843	0.247	3.980	14.921	11.756	0.739	0.424	8.858	18.718	0.154	0.194	0.320	0.368	60.609	9.588	6.264	82.5464709318472	1	0.1847	0.218785205115764	0.498198124505804	0.129230015749728	0.187824165991214	0.166632925860222	0.145916786989503	5.441	96.0	0.02906	1.20	0.726	0.0208353874577676	0.279	0.197	0.184	0.177	9.27408466962094
102.0	0.178	0.170	0.351	0.160	0.000	0.453	0.351	2.819	0.247	3.940	14.735	11.610	0.728	0.422	8.746	18.482	0.154	0.194	0.320	0.366	59.928	9.464	6.161	81.5463154098423	1	0.1846	0.218667139212049	0.494430399312527	0.129182702977064	0.187414786016957	0.166278524022774	0.145791989822474	5.395	94.9	0.02906	1.19	0.726	0.0208122215029566	0.278	0.197	0.183	0.177	9.15692914945083
102.5	0.178	0.169	0.349	0.160	0.000	0.453	0.349	2.795	0.247	3.900	14.552	11.465	0.721	0.419	8.636	18.251	0.154	0.194	0.319	0.366	59.134	9.343	6.060	80.5631915348882	1	0.1846	0.21855363557074	0.490717093019503	0.129137742896441	0.187012274980323	0.165930392727732	0.145671036670695	5.349	93.7	0.02888	1.18	0.726	0.0207891452294534	0.276	0.196	0.182	0.176	9.04186560164144
103.0	0.178	0.169	0.349	0.159	0.000	0.451	0.349	2.764	0.247	3.860	14.372	11.324	0.711	0.419	8.527	18.024	0.154	0.194	0.319	0.364	58.453	9.224	5.961	79.5966924153538	1	0.1845	0.218444615244149	0.487057102854653	0.129095095118323	0.186616506484422	0.165588415716362	0.145553859731859	5.304	92.5	0.02888	1.17	0.726	0.0207661574583919	0.275	0.196	0.182	0.176	8.92884627665927
103.5	0.177	0.169	0.348	0.159	0.000	0.451	0.348	2.740	0.247	3.830	14.196	11.184	0.704	0.417	8.421	17.801	0.154	0.193	0.319	0.364	57.772	9.107	5.863	78.6464239968878	1	0.1844	0.218340001091616	0.483449354460602	0.129054720165396	0.186227357165396	0.165252479546676	0.145440392799026	5.260	91.4	0.02871	1.16	0.726	0.020743257003362	0.274	0.195	0.182	0.176	8.81782474406645
104.0	0.177	0.169	0.348	0.159	0.000	0.448	0.348	2.717	0.247	3.780	14.022	11.047	0.693	0.415	8.317	17.582	0.154	0.193	0.318	0.364	56.977	8.993	5.768	77.7120045641288	1	0.1844	0.218239717728602	0.479892801011844	0.1290165794472	0.185844706603324	0.164922473509947	0.145330571214526	5.217	90.2	0.02871	1.15	0.726	0.0207204426707467	0.273	0.195	0.182	0.176	8.70875584992289
